data,label
"[2013, 24, 4, 17, 5]",34
"[2013, 24, 4, 18, 5]",45
"[2013, 24, 4, 19, 5]",63
"[2013, 24, 4, 20, 5]",15
"[2013, 24, 4, 21, 5]",16
"[2013, 24, 4, 22, 5]",6
"[2013, 24, 4, 23, 5]",2
"[2013, 24, 5, 0, 5]",4
"[2013, 24, 5, 1, 5]",2
"[2013, 24, 5, 2, 5]",0
"[2013, 24, 5, 3, 5]",0
"[2013, 24, 5, 4, 5]",0
"[2013, 24, 5, 5, 5]",2
"[2013, 24, 5, 6, 5]",2
"[2013, 24, 5, 7, 5]",16
"[2013, 24, 5, 8, 5]",26
"[2013, 24, 5, 9, 5]",36
"[2013, 24, 5, 10, 5]",13
"[2013, 24, 5, 11, 5]",1
"[2013, 24, 5, 12, 5]",15
"[2013, 24, 5, 13, 1]",13
"[2013, 24, 5, 14, 1]",11
"[2013, 24, 5, 15, 5]",9
"[2013, 24, 5, 16, 5]",20
"[2013, 24, 5, 17, 5]",50
"[2013, 24, 5, 18, 5]",35
"[2013, 24, 5, 19, 5]",13
"[2013, 24, 5, 20, 5]",18
"[2013, 24, 5, 21, 5]",3
"[2013, 24, 5, 22, 5]",4
"[2013, 24, 5, 23, 5]",1
"[2013, 24, 6, 0, 5]",0
"[2013, 24, 6, 1, 5]",0
"[2013, 24, 6, 2, 5]",0
"[2013, 24, 6, 3, 5]",2
"[2013, 24, 6, 4, 5]",0
"[2013, 24, 6, 5, 5]",0
"[2013, 24, 6, 6, 5]",0
"[2013, 24, 6, 7, 5]",2
"[2013, 24, 6, 8, 5]",2
"[2013, 24, 6, 9, 5]",0
"[2013, 24, 6, 10, 5]",0
"[2013, 24, 6, 11, 5]",2
"[2013, 24, 6, 12, 5]",0
"[2013, 24, 6, 13, 5]",2
"[2013, 24, 6, 14, 5]",5
"[2013, 24, 6, 15, 5]",3
"[2013, 24, 6, 16, 5]",3
"[2013, 24, 6, 17, 5]",5
"[2013, 24, 6, 18, 5]",2
"[2013, 24, 6, 19, 5]",4
